loaded_nuclei,cells_per_droplet,count
15300,0,964
15300,1,113
15300,2,2
191000,0,250
191000,1,294
191000,2,218
191000,3,121
191000,4,43
191000,5,22
191000,6,3
191000,7,2
191000,8,0
191000,9,1
191000,10,1
383000,0,37
383000,1,33
383000,2,54
383000,3,100
383000,4,94
383000,5,125
383000,6,108
383000,7,92
383000,8,82
383000,9,50
383000,10,27
383000,11,17
383000,12,10
383000,13,4
383000,14,5
383000,15,1
383000,16,0
383000,17,5
383000,18,0
383000,19,1
383000,20,0
383000,21,0
383000,22,0
383000,23,0
383000,24,0
383000,25,1
765000,0,26
765000,1,38
765000,2,41
765000,3,55
765000,4,56
765000,5,67
765000,6,72
765000,7,81
765000,8,68
765000,9,61
765000,10,39
765000,11,34
765000,12,15
765000,13,6
765000,14,6
765000,15,3
765000,16,2
765000,17,2
765000,18,0
765000,19,0
765000,20,0
1530000,0,20
1530000,1,35
1530000,2,21
1530000,3,14
1530000,4,8
1530000,5,16
1530000,6,20
1530000,7,18
1530000,8,32
1530000,9,26
1530000,10,41
1530000,11,51
1530000,12,67
1530000,13,63
1530000,14,73
1530000,15,71
1530000,16,70
1530000,17,64
1530000,18,64
1530000,19,46
1530000,20,21
1530000,21,19
1530000,22,22
1530000,23,14
1530000,24,20
1530000,25,13
1530000,26,9
1530000,27,5
1530000,28,1
1530000,29,4
1530000,30,2
1530000,31,2
1530000,32,0
1530000,33,1
1530000,34,2
1530000,35,1
1530000,36,0
1530000,37,0
1530000,38,0
1530000,39,0
1530000,40,1
